titolo,descrizione,immago,clip,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno,titolo_pm,primamappa
Cambia-menti 1962,Cambia-menti…#Palermo…Variante Generale PRG 2004 vs PRG 1962,"<img src=""legend/clip_index/cambia-menti2.jpg"" class=""clip_tooltips""  />",,Variante Generale;PRG;PPE;Centro Storico;Palermo;Controllo del territorio;Governo del territorio;Zonizzazione;Pianp Particolareggiato,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/cambia-menti2.html,Comune di Palermo,,@gbvitrano,2020-12-27,dicembre - 2020,2020,,
PRG aggionato con i provvedimenti del d.p.r.s. n 110/a del 28/06/1962 e con le successive varianti fino a giugno 1984,Le tavole sono in formato JPG quale frutto di scansione delle tavole cartacee.,"<img src=""legend/clip_index/qu_prg_62.jpg"" class=""clip_tooltips""  />",,Variante Generale;PRG;PPE;Centro Storico;Palermo;Controllo del territorio;Governo del territorio;Zonizzazione;Pianp Particolareggiato,Strumenti Urbanistici,Palermo,http://palermohub.opendatasicilia.it/qu_prg_62.html,Comune di Palermo,,@gbvitrano,2020-12-25,dicembre - 2020,2020,,
Oli vegetali usati punti di raccolta in Sicilia,La mappa dei punti di raccolta è disponibile all'indirizzo https://ecologicaitaliana.com/mappa-raccolte-oli.html ed ulteriori informazioni sono disponibili al numero verde gratuito 800-987719,"<img src=""legend/clip_index/oli_vegetali.jpg"" class=""clip_tooltips"" />",,Olii;Riciclo;Rifiuti,Ambiente,Sicilia,http://siciliahub.github.io/palermohub/oli_vegetali.html,ecologicaitaliana.com,,@aborruso;@cirospat;@gbvitrano,2020-03-04,marzo - 2020,2020,,http://umap.openstreetmap.fr/it/map/oli-vegetali-usati-punti-di-raccolta-in-sicilia_426938
Italia - Mappa news Incendi registrati nel 2020,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2020,"<img src=""legend/clip_index/news_incendi_2020.jpg"" class=""clip_tooltips""  />",,Incendi;News;EFFIS;Pericolo,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/news_incendi_2020.html,European Forest Fire Information System;EFFIS,,@gbvitrano,2020-01-01,gennaio - 2020,2020,Italia – Mappa news Incendi registrati nel 2020,http://u.osmfr.org/m/403685/
Mappa terremoti in Italia nel 2020 (earthquakes today),Mappa terremoti in Italia nel 2020 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,"<img src=""legend/clip_index/terremoti_2018.jpg"" class=""clip_tooltips"" />",,Terremoti;Terremoto;IGNV;Lista terremto;,Emergenze,Italia,http://siciliahub.github.io/palermohub/terremoti_2020.html,INGV,,@aborruso;@gbvitrano,2020-01-01,gennaio - 2020,2020,Terremoti in Italia nel 2020 (earthquakes today),http://u.osmfr.org/m/403690/
Ufficio Anagrafe e Postazioni decentrate dove vegono rilasciate le carte d'identità elettroniche - CIE,"Palermo, Ufficio Anagrafe, Postazioni decentrate e sede di Circoscrizione. Carta di identità elettronica. Dal primo ottobre, Il costo di rilascio sarà di 22.20 euro di cui 16.8 andranno al Ministero dell’Interno, mentre per ottenere il duplicato in caso di danneggiamento, furto o smarrimento il costo sarà di 27.35 euro....","<img src=""legend/clip_index/cie.jpg"" class=""clip_tooltips""  />",,Palermo;Cie;CIE;Carta di identità elettronica;Ufficio Anagrafe; Postazioni decentrate;Circoscrizioni;,Uffici Comunali,Palermo,http://siciliahub.github.io/palermohub/cie.html,,,@gbvitrano,2019-09-21,settembre - 2019,2019,Ufficio Anagrafe e Postazioni decentrate dove vegono rilasciate le carte d'identità elettroniche,http://u.osmfr.org/m/367156/
"Fontanelle a Palermo, un progetto per scoprire quelle di acqua potabile - Rielaborazione dati OpenDataSicilia.it e Associazione onData.it","Adesso lo sai, Se usi una fontanella, ti prendi cura del mondo,  Non fare piangere una fontanella, USALA!","<img src=""https://opendatasicilia.github.io/FontanellePalermo/mappa/images/social_card_07.jpg"" class=""clip_tooltips"" />",,Palermo;Fontanelle;Fontane;Acqua pubblica;Amap;PlasticFree;PalermoPlasticFree;,Ambiente,Palermo,https://fontanelle.ondata.it/mappa/,AMAP;Comune  di Palermo,,@aborruso;@Emiliodigri;@totofiandaca;@cirospat;@gpirrotta;@gbvitrano,2019-08-26,agosto - 2019,2019,Fontanelle a Palermo,https://fontanelle.ondata.it/
Fontanelle acqua potabile Comune di Palermo - 2019,"Palermo, mappa delle fontane e fontanelle pubbliche di aqcua potabile più vicono casa. Si potrà fare approvvigionamento di acqua potabile e frenare il consumo di plastica. Un piccolo gesto per la difesa dell'ambiente. #PalermoPlasticFree","<img src=""legend/clip_index/fontanelle1_pa.jpg"" class=""clip_tooltips""  />",,Palermo;Fontanelle;Fontane;Acqua pubblica;Amap;PlasticFree;PalermoPlasticFree;,Ambiente,Palermo,http://siciliahub.github.io/palermohub/fontanelle_pa.html,AMAP SPA - Palermo,,@gbvitrano,2019-08-25,agosto - 2019,2019,Le Fontanelle di Palermo - AMAP SPA,https://www.amapspa.it/it/azienda/le-fontanelle-di-palermo/
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Rielaborati con Flourish,"Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Rielaborati con Flourish, la piattaforma più potente per la visualizzazione e la narrazione dei dati","<img src=""legend/clip_index/sinistri_2018_flourish.jpg"" class=""clip_tooltips""  />",,Palermo;Polizia Municipale;Incidenti;Sinistri;Flourish,Mobilità,Palermo,http://siciliahub.github.io/palermohub/sinistri_2018_flourish.html,Comune di Palermo,,@aborruso;@gbvitrano,2019-07-22,luglio - 2019,2019,"Storytelling Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Rielaborati con Flourish

  
  




  
  


",https://public.flourish.studio/story/65380/
"Sicilia, spiagge accessibili","Strutture balneari che tra percorsi dedicati e servizi necessari per le persone con disabilità motoria (anche temporanea) costituiscono in Sicilia una costellazione di spiagge accessibili in cui il mare è accessibile: da Palermo ad Agrigento, da Trapani a Catania, Siracusa e Pantelleria, il mare di Sicilia è un'esperienza godibile da tutti. (cit)","<img src=""legend/clip_index/sicilia_spiagge_accessibili_02.jpg"" class=""clip_tooltips""  />",,Sicily accessible beaches;Sicilia spiagge accessibili;Sedia Job;Disabili;Vacanze;Mare;Spiagge;Dog club;Dog beach;Spiaggia di Pluto,Cultura,Sicilia,http://siciliahub.github.io/palermohub/sicilia_spiagge_accessibili.html,Sicilia Turismo per Tutti,,@gbvitrano,2019-06-22,giugno - 2019,2019,"Sicilia, spiagge accessibili",http://u.osmfr.org/m/339960/
"Palermo, popolazione residente per cittadinanza, UPL , Quartiere e Circoscrizione - 2018 Mappa a densità di punti","Gli stranieri residenti a Palermo nel 2018  sono 25.735 e rappresentano 130 Nazionalità, oggi sono il 3,83% della popolazione totale (670.954). Chi sono questi stranieri? Da dove vengono? Quanti sono? Dove vivono? Qual'è il rapporto stranieri/italiani nel territorio? ...I cittadini Bangladesi, Singalesi, Ghanesi e Romeni da soli costituiscono più della  metà (57,41%) di tutti gli stranieri residenti a  Palermo.","<img src=""legend/clip_index/stranieri_residenti_subregions_dot.jpg"" class=""clip_tooltips""  />",,Popolazione straniera;Stranieri;Palermo;Circoscrizioni;,Strumenti Urbanistici;Statistica;,Palermo,http://siciliahub.github.io/palermohub/stranieri_residenti_subregions_dot.html,Comune di Palermo,,@aborruso;@totofiandaca;@gbvitrano,2019-06-08,giugno - 2019,2019,,
Residenti Stranieri a Palermo - 2018,Popolazione Residente a Palermo nel 2018. Palermo si contraddistingue tra i comuni siciliani per una maggiore presenza multietnica: gli stranieri residenti sono di 127 differenti nazionalità. Questa specificità è testimoniata tanto dal crogiolo di lingue parlate quanto dalle diverse “culture” presenti.,"<img src=""legend/clip_index/residenti_stranieri_pa.jpg"" class=""clip_tooltips""  />",,Popolazione straniera;Stranieri;Palermo;Circoscrizioni;,Strumenti Urbanistici;Statistica;,Palermo,http://siciliahub.github.io/palermohub/stranieri_residenti_suregions.html,Comune di Palermo,,@aborruso;@totofiandaca;@gbvitrano,2019-05-18,maggio - 2019,2019,,
#FACCIAMOUNPATTO,"Palermo - Piano di pulizia straordinaria - 2019, dal 06 Maggio al 17 Luglio 2019 Piano di pulizia straordinario, 62 giorni lavorativi per la pulizia straordinaria di tutti i quartieri.","<img src=""legend/clip_index/FACCIAMOUNPATTO.jpg"" class=""clip_tooltips""  />",,FACCIAMOUNPATTO;TENIAMOPULITO;Pulizia straordinria;Piano;Decoro Urbano;Ambiente;,Ambiente,Palermo,http://siciliahub.github.io/palermohub/FACCIAMOUNPATTO.html,Comune di Palermo,,@gbvitrano,2019-05-04,maggio - 2019,2019,Palermo - Piano di pulizia straordinaria - 2019,http://u.osmfr.org/m/322422/
Siclia - Parafarmacie 2019,Mappa puntuale delle parafarmacie su tutto il territorio regionale,"<img src=""legend/clip_index/sicilia_parafarmacie.jpg"" class=""clip_tooltips""  />",,Parafarmacie;Framaci da banco;farmaci vendibili senza ricetta,Cultura,Sicilia,http://siciliahub.github.io/palermohub/sicilia_parafarmacie.html,Regione Sicilia,,@gbvitrano,2019-04-26,aprile - 2019,2019,Siclia - Parafarmacie 2019,http://u.osmfr.org/m/319479/
Palermo - Stagione balneare 2019 - Divieti di balneazione,"Divieto di balneazione, dal 1° maggio al 31 ottobre 2019, nei tratti di mare antistanti la costa del territorio di Palermo. L’Ordinanza fa riferimento alle disposizioni contenute nel Decreto n. 421 del 19 marzo scorso dell’Assessorato Regionale della Salute - Dipartimento Attività Sanitarie ed Osservatorio Epidemiologico di valutazione delle acque di mare destinate alla balneazione.","<img src=""legend/clip_index/pa_divieti_balneazione_2019.jpg"" class=""clip_tooltips""  />",,Mare;Spiaggia;Divieti;Balneazione;Estate;,Ambiente,Palermo,http://siciliahub.github.io/palermohub/pa_divieti_balneazione_2019.html,Comune di Palermo,,@gbvitrano,2019-04-19,aprile - 2019,2019,Palermo - Stagione balneare 2019 - Divieti di balneazione,http://u.osmfr.org/m/317227/
Responsabile della transizione al digitale (RTD) - Sicilia,Il Responsabile Transizione Digitale è una figura professionale prevista dall'art. 17 del Codice dell'Amministrazione Digitale,"<img src=""legend/clip_index/RTD.jpg"" class=""clip_tooltips""  />",,RTD;Responsabile transizione digitale;Enti;,Cultura,Sicilia,http://siciliahub.github.io/palermohub/RTD.html,indicepa.gov.it,,@aborruso;@totofiandaca;@cirospat;@gbvitrano,2019-04-03,aprile - 2019,2019,Responsabile transizione digitale - Sicilia,http://u.osmfr.org/m/310910/
A.M.T. Catania - Marzo 2019,Azienda Metropolitana Trasporti (A.M.T.) Catania - Marzo 2019 - NO GTFS,"<img src=""legend/clip_index/amt_catania.jpg"" class=""clip_tooltips""  />",,Bus;Fermate;Catania;Mobilità;AMT,Mobilità,Catania,http://siciliahub.github.io/palermohub/amt_catania.html,AMT - Catania,,@aborruso;@totofiandaca;@gbvitrano,2019-03-29,marzo - 2019,2019,Azienda Metropolitana Trasporti (AMT) Catania - Marzo 2019,http://u.osmfr.org/m/308965/
CCR Centro Comunale di Raccolta - Isola ecologica,Cosa è il CCR Centro Comunale di Raccolta...? E’ un’area presidiata per la raccolta differenziata dei rifiuti urbani e assimilati,"<img src=""legend/clip_index/ccr_isole_ecologiche_02.jpg"" class=""clip_tooltips""  />",,Riciclo;Indumenti;Abbandono;Isola ecologica;Raccolta differenziata;Rifiuti urbani;,Ambiente;Rifiuti;Riciclo,Palermo,http://siciliahub.github.io/palermohub/ccr_isole_ecologiche.html,RAP,,@aborruso;@totofiandaca;@cirospat;@gbvitrano,2019-03-23,marzo - 2019,2019,Palermo - CCR Centro Comunale di Raccolta - Isola ecologica,http://u.osmfr.org/m/307075/
INFC,Inventario Nazionale delle Foreste e dei Serbatoi Forestali di Carbonio (INFC) - Dati quantitativi su popolamento e necromassa,"<img src=""legend/clip_index/concentrazione_alberi.jpg"" class=""clip_tooltips""  />",,Alberi;Boschi;Castagneti;Pino;Sugherete;Igrofili;Abete rosso;Abete bianco;Rovere;Popolamento;Necromassa ,Ambiente,Italia,http://siciliahub.github.io/palermohub/concentrazione_alberi.html,INFC,,@gbvitrano,2019-03-16,marzo - 2019,2019,,
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Umap,Incidenti rilevati dalla Polizia Municipale di Palermo - Umap (tot. incidenti 3340),"<img src=""legend/clip_index/sinistri_2018.jpg"" class=""clip_tooltips""  />",,Palermo;Polizia Municipale;Incidenti;Sinistri;,Mobilità,Palermo,http://siciliahub.github.io/palermohub/sinistri_2018.html,Comune di Palermo,,@gbvitrano,2019-03-15,marzo - 2019,2019,Palermo Sinistri stradali 2018,http://u.osmfr.org/m/303740/
Teca Digitale e Bene Comune,"Mappa dei progetti Teca digitale, immagini storiche che il Sistema Bibliotecario Cittadino di Palermo ha reso disponibile online sul social network flickr, tutte pubblicate con una licenza aperta CC BY-SA 4.0 che ne consente il riuso - Rielaborazione dati OpenDataSicilia","<img src=""legend/clip_index/library_02.jpg"" class=""clip_tooltips"" />",,"Foto storiche;Cartoline;Postcard;Palermo;Persone;Hotel;Ristoranti;Caffè;Parco;Piazza;Via;Collezione;Cartografie Storiche;
",Cultura,"Palermo
",http://siciliahub.github.io/palermohub/teca_digitale.html,Comune di Palermo,,@aborruso;@totofiandaca;@cirospat;@gbvitrano,2019-03-12,marzo - 2019,2019,Teca Digitale e Bene Comune,
Biblioteche e bene comune digitale,"Mappa dei progetti Teca digitale, immagini storiche che il Sistema Bibliotecario Cittadino di Palermo ha reso disponibile online sul social network flickr, tutte pubblicate con una licenza aperta CC BY-SA 4.0 che ne consente il riuso - Rielaborazione dati OpenDataSicilia","<img src=""legend/clip_index/teca_digitale.jpg"" class=""clip_tooltips"" />",,"Foto storiche;Cartoline;Postcard;Palermo;Persone;Hotel;Ristoranti;Caffè;Parco;Piazza;Via;Collezione;Cartografie Storiche 
",Cultura,"Palermo
",http://siciliahub.github.io/palermohub/library.html,Comune di Palermo,,@aborruso;@gbvitrano,2019-03-12,marzo - 2019,2019,Biblioteche e bene comune digitale,http://u.osmfr.org/m/301213/
Mappa del pendolarismo da e per Palermo 2011 | flowmap.blue,Mappa dinamica del pendolarismo da e per Palermo – Istat 2011,"<img src=""legend/clip_index/Pendolarismo_flowmap_blue.png"" class=""clip_tooltips"" />",,Mobilità;Pendolarismo;Bus;Mezzo proprio;Lavoro; Studio;ISTAT,Mobilità,Sicilia,https://flowmap.blue/1gDrYiVk4jNhmqkBhFwKOYhBTHfOU_GNsjDUHV5vpuVE,ISTAT,,@gbvitrano,2019-01-25,gennaio - 2019,2019,,https://flowmap.blue/1gDrYiVk4jNhmqkBhFwKOYhBTHfOU_GNsjDUHV5vpuVE
Italia - Mappa news Incendi registrati nel 2019,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2019. ,"<img src=""legend/clip_index/news_incendi_2019.jpg"" class=""clip_tooltips""  />",,Incendi;News;EFFIS;Pericolo,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/news_incendi_2019.html,European Forest Fire Information System;EFFIS,,@gbvitrano,2019-01-13,gennaio - 2019,2019,Italia – Mappa news Incendi registrati nel 2019,http://u.osmfr.org/m/271485/
Mappa terremoti in Italia nel 2019 (earthquakes today),Mappa terremoti in Italia nel 2019 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,"<img src=""legend/clip_index/terremoti_2019.jpg"" class=""clip_tooltips"" />",,Terremoti;Terremoto;IGNV;Lista terremto;,Emergenze,Italia,http://siciliahub.github.io/palermohub/terremoti_2019.html,INGV,,@aborruso;@gbvitrano,2019-01-01,gennaio - 2019,2019,Terremoti in Italia nel 2019 (earthquakes today),http://u.osmfr.org/m/278617/
Mappa terremoti in Italia nel 2018,Mappa terremoti in Italia nel 2018 - Archivo eventi sismici registarti nel 2018 suddivisi per mese,"<img src=""legend/clip_index/terremoti_2018.jpg"" class=""clip_tooltips"" />",,Terremoti;Terremoto;IGNV;Lista terremto;,Emergenze,Italia,http://siciliahub.github.io/palermohub/terremoti_2018.html,INGV,,@aborruso;@gbvitrano,2018-12-30,dicembre - 2018,2018,Terremoti in Italia nel 2018,http://u.osmfr.org/m/278582/
Stalli riservati all'Ape Calessino,47 stalli riservati all'Ape Calessino per servizio pubblico,"<img src=""legend/clip_index/motocarrozzette.jpg"" class=""clip_tooltips"" />",,Taxi;Ape Calessino;Cultura;Turismo;Mobilità;Motocarrozzette,Mobilità,Palermo,http://siciliahub.github.io/palermohub/motocarrozzette.html,Comune di Palermo,,@cirospat,2018-11-17,novembre - 2018,2018,Spazi riservati alle motocarrozzette per servizio pubblico,http://u.osmfr.org/m/266413/
ARS - Mappa Deputati della XVII Legislatura,Assemblea Regionale Siciliana - ARS - Mappa Deputati della XVII Legislatura distribuiti per collegio di elezione ,"<img src=""legend/clip_index/deputati_ars.jpg"" class=""clip_tooltips"" />",,ARS;Deputati della XVII Legislatura;Sicilia;Colleggio elettorale;,Cultura;ARS,Sicilia,http://siciliahub.github.io/palermohub/deputati_ars.html,Regione Sicilia,,@gpirrotta;@gbvitrano,2018-11-11,novembre - 2018,2018,,
Mappa interattiva segnalazioni RAP ,Mappa interattiva delle segnalazioni alla RAP (Risorse Ambiente Palermo) by OpenDataSicilia - Settembre 2018,"<img src=""legend/clip_index/app_rap.jpg"" class=""clip_tooltips"" />",,Rifiuti;Segnalazioni;RAP;Palermo;Discariche abusive;Tableau;,Ambiente;Rifiuti;Riciclo,Palermo,http://siciliahub.github.io/palermohub/app_rap.html,Applicazione RAP,,@aborruso;@totofiandaca;@gbvitrano,2018-10-14,ottobre - 2018,2018,,
"Targa Florio Classica - Ferrari Tribute, limitazioni alla circolazione veicolare - Palermo","Manifestazione automobilistica ""Targa Florio Classica - Ferrari Tribute ""riservata a vetture storiche valida per il Campionato Italiano grandi Eventi e Ferrari Tribute to Targa Florio riservata ai possessori di vetture Ferrari.","<img src=""legend/clip_index/targa_florio.jpg"" class=""clip_tooltips"" />",,Palermo;Targa Florio;Viabilità;Divieto di circolazione;Divieto di sosta;Limitazioni alla circolazione;,Mobilità,Palermo,http://siciliahub.github.io/palermohub/targa_florio.html,Comune di Palermo,,@gbvitrano,2018-10-05,ottobre - 2018,2018,"Targa Florio Classica - Ferrari Tribute, limitazioni alla circolazione veicolare - Palermo",http://u.osmfr.org/m/253444/
Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco,Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco - Incendi anno 2017,"<img src=""legend/clip_index/pa_catasto_fuoco.jpg"" class=""clip_tooltips"" />",,Catasto incendi;Palermo;Incendi;Sicilia;,Emergenze;Ambiente;Incendi,Palermo,http://siciliahub.github.io/palermohub/catasto_terre_bruciate_palermo.html,Comune di Palermo;Copernicus,,@gbvitrano,2018-10-01,ottobre - 2018,2018,Palermo - Aggiornamento del catasto dei soprassuoli percorsi dal fuoco - Incendi anno 2017,http://u.osmfr.org/m/257151/
Localizzazione degli edifici scolastici attivi - Anno Scolastico 2017/18 - Provincia Palermo,"Al via l’operazione trasparenza sui dati dell’Anagrafe dell’edilizia scolastica, da oggi disponibili in chiaro, per singolo istituto scolastico, attraverso il portale del Ministero dell’Istruzione, dell’Università e della Ricerca nella sezione dedicata ai dati e open data.","<img src=""legend/clip_index/anagrafe_scuola.jpg"" class=""clip_tooltips"" />",,Ediliazia Scolastica;MIUR;Scuola;Anagrafe dell’edilizia;,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/anagrafe_scuola.html,MIUR,,@gbvitrano,2018-09-29,settembre - 2018,2018,Localizzazione degli edifici scolastici attivi - Anno Scolastico 2017/18 - Provincia Palermo,http://u.osmfr.org/m/252061/
Papa Francesco a Palermo,Viabilità provvisoria in occasione della visita di Papa Francesco a Palermo - Settembre 2018,"<img src=""legend/clip_index/papafrancescopalermo.jpg"" class=""clip_tooltips"" />",,Papa Francesco;Strade chiuse;Diviti di sosta; Diviti di transito;Metropolitana;Tram;Viabilità provvisoria;,Mobilità,Palermo,http://siciliahub.github.io/palermohub/papafrancescopalermo.html,Comune di Palermo,,@totofiandaca;@gbvitrano,2018-09-09,settembre - 2018,2018,Viabilità provvisoria in occasione della visita di Papa Francesco a Palermo - Settembre 2018,http://bit.ly/papafrancescopalermo
